StateAbbr,CountyName,county_geoid,rucc_code,avg_score,max_score,tract_count,total_bsls,total_unserved,avg_income,avg_no_fiber_pct
VA,Madison County,51113,8,73.84742647058823,77.19646490335708,4,6690,4054,84692.5,99.21173983471975
VA,King William County,51101,1,73.1811447175513,76.39896101370354,4,7979,3237,86006.75,96.2961358531727
KY,Robertson County,21201,8,72.45930824008138,72.45930824008138,1,1884,1307,51830.0,100.0
VA,Essex County,51057,8,72.3676605230088,73.21267428639818,3,6206,2339,56222.0,99.48442915903388
MD,Calvert County,24009,3,72.10414709373067,77.06366315600503,18,34476,209,135078.83333333334,99.93367999142798
KY,Trimble County,21223,8,72.07054784273832,72.19833792112979,2,5670,1601,68240.0,71.92681074528713
VA,Franklin city,51620,6,71.98315593022559,73.50121476871522,2,3352,15,58238.5,98.4950845200585
PA,Clearfield County,42033,4,71.70620205254025,77.45605439530848,20,40083,6981,62725.7,95.95165744088509
VA,Southampton County,51175,6,71.6908696367662,75.55929028783436,5,9275,863,73465.0,57.23581832759119
VA,Middlesex County,51119,8,71.3347950077793,74.44604900963438,4,8187,2663,75832.5,98.35926118311676
VA,New Kent County,51127,1,71.327257121058,75.52564777691342,4,10908,2354,121375.0,88.1336993049148
VA,Fauquier County,51061,1,70.97679548650589,76.90110032314044,20,28578,8270,128802.2,95.190155475556
VA,Gloucester County,51073,1,70.89348857040272,77.94922655735743,9,17477,1805,85754.11111111111,98.36807452667146
VA,Rappahannock County,51157,1,70.86408278977919,74.82009754054215,2,4224,2403,82048.5,99.8468137254902
VA,Westmoreland County,51193,8,70.84634659306245,77.4978307701514,6,12557,2014,65651.0,99.06306962940766
KY,Martin County,21159,8,69.61612074382144,71.40431078331638,4,5020,1341,37638.25,100.0
PA,Somerset County,42111,6,69.56544519702591,78.84319011429598,24,38340,6335,61919.291666666664,98.49010196372006
KY,Carter County,21043,2,69.25566084839328,73.29169783376221,8,11396,2541,51537.25,81.87344973281998
PA,Fulton County,42057,8,69.21711297947459,70.30223655077494,3,7344,3331,66466.0,99.95648786388794
VA,Caroline County,51033,8,68.9745721381126,76.31348737358626,9,13831,4183,85966.44444444444,93.25508458221242
VA,Dinwiddie County,51053,1,68.96862096822451,79.35774938663155,8,13325,5526,78750.875,97.08915438043431
VA,Charles City County,51036,1,68.87999396605031,72.29045464065587,3,3611,1265,76287.33333333333,98.60735210115251
VA,Lancaster County,51103,9,68.71530896565136,69.63770719885106,4,7921,2487,74069.75,96.47653172988451
PA,Montour County,42093,6,68.52683860929926,71.52549069475195,4,7634,748,80950.5,99.4113721383369
MD,Dorchester County,24019,6,68.41097788216676,74.65308703847765,9,16302,2153,67303.55555555556,89.2943475795063
VA,Page County,51139,8,68.14441984321705,73.28602716773383,6,13241,4058,57119.5,99.7571168144912
KY,Muhlenberg County,21177,6,68.12842454072168,74.35011294955419,10,14657,2682,54376.5,86.18894318888378
