NAME,hh_total,hh_internet_sub,hh_broadband_any,hh_cellular_only,hh_cable_fiber_dsl,hh_internet_nosub,hh_no_internet,median_hh_income,edu_total_25plus,edu_hs_diploma,edu_bachelors,edu_masters,edu_professional,edu_doctorate,emp_total_16plus,emp_civilian_labor,emp_unemployed,race_total,race_nh_white,race_nh_black,race_nh_asian,race_hispanic,total_population,total_housing_units,median_age,comp_total_hh,comp_no_computer,state,county,tract,GEOID,state_abbr
Census Tract 901.01; Accomack County; Virginia,945,883,883,157,680,8,54,70731,1484,311,400,161,30,21,1613,799,52,1797,1706,0,0,34,1797,2102,56.0,945,45,51,001,090101,51001090101,VA
Census Tract 901.02; Accomack County; Virginia,769,679,679,70,577,72,18,51141,1149,311,167,176,46,0,1270,453,30,1499,1466,0,0,9,1499,2441,58.4,769,18,51,001,090102,51001090102,VA
Census Tract 902.01; Accomack County; Virginia,1549,1359,1359,301,872,34,156,77067,2580,946,462,184,0,2,2801,1334,75,3248,2757,273,9,161,3248,3295,56.8,1549,95,51,001,090201,51001090201,VA
Census Tract 902.02; Accomack County; Virginia,1177,948,948,321,484,0,229,45566,2025,576,165,61,13,11,2278,1437,89,2616,1123,1263,67,131,2616,1481,47.1,1177,193,51,001,090202,51001090202,VA
Census Tract 903; Accomack County; Virginia,745,498,497,50,381,37,210,44886,1390,554,67,21,4,10,1592,711,19,1811,1138,337,0,231,1811,1218,39.9,745,128,51,001,090300,51001090300,VA
Census Tract 904.01; Accomack County; Virginia,1112,850,839,158,572,28,234,71659,1994,618,176,172,0,2,2160,1356,31,2690,1397,758,73,179,2690,1258,48.4,1112,231,51,001,090401,51001090401,VA
Census Tract 904.02; Accomack County; Virginia,1473,1222,1221,237,778,61,190,46695,2608,725,185,68,16,6,2958,1579,9,3927,1116,1437,9,1297,3927,1903,37.7,1473,89,51,001,090402,51001090402,VA
Census Tract 905; Accomack County; Virginia,1115,939,939,320,471,40,136,57125,1792,596,241,50,4,6,2189,1448,39,2963,1654,786,10,434,2963,1327,32.7,1115,101,51,001,090500,51001090500,VA
Census Tract 906; Accomack County; Virginia,1955,1513,1502,140,1160,15,427,62202,2902,889,360,307,88,77,3311,1670,31,3862,2569,913,3,248,3862,2543,55.6,1955,451,51,001,090600,51001090600,VA
Census Tract 907; Accomack County; Virginia,2263,2138,2128,609,1182,42,83,57138,3598,951,509,378,23,18,4085,2341,113,5015,3056,1187,60,600,5015,2755,50.5,2263,51,51,001,090700,51001090700,VA
Census Tract 908; Accomack County; Virginia,1320,1051,1043,168,787,40,229,54925,2715,903,420,123,13,25,3269,2008,27,3884,1354,2084,9,325,3884,1706,42.7,1320,157,51,001,090800,51001090800,VA
Census Tract 9801; Accomack County; Virginia,23,23,23,0,23,0,0,-666666666,23,23,0,0,0,0,23,23,0,23,23,0,0,0,23,23,-666666666.0,23,0,51,001,980100,51001980100,VA
Census Tract 9802; Accomack County; Virginia,0,0,0,0,0,0,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666.0,0,0,51,001,980200,51001980200,VA
Census Tract 9901; Accomack County; Virginia,0,0,0,0,0,0,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666.0,0,0,51,001,990100,51001990100,VA
Census Tract 9902; Accomack County; Virginia,0,0,0,0,0,0,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666.0,0,0,51,001,990200,51001990200,VA
Census Tract 101; Albemarle County; Virginia,1789,1561,1561,111,1381,32,196,122882,3569,532,1181,778,190,173,3764,2235,43,4515,3980,161,43,24,4515,2021,50.1,1789,112,51,003,010100,51003010100,VA
Census Tract 102.01; Albemarle County; Virginia,2194,2116,2109,248,1762,54,24,130231,4313,633,1324,760,279,203,4698,2994,12,6266,4585,161,427,408,6266,2293,41.9,2194,35,51,003,010201,51003010201,VA
Census Tract 102.02; Albemarle County; Virginia,1338,1300,1300,260,992,0,38,181250,2591,235,845,576,158,165,2942,1953,85,3606,2814,179,76,449,3606,1382,45.7,1338,8,51,003,010202,51003010202,VA
Census Tract 103.01; Albemarle County; Virginia,855,829,829,177,652,18,8,118750,1446,251,385,298,40,44,1865,1233,52,2229,1383,366,131,273,2229,862,35.6,855,13,51,003,010301,51003010301,VA
Census Tract 103.02; Albemarle County; Virginia,501,501,501,66,435,0,0,164890,990,126,417,265,43,83,1135,869,29,1305,842,120,146,43,1305,501,32.9,501,13,51,003,010302,51003010302,VA
Census Tract 103.03; Albemarle County; Virginia,2135,2030,2030,247,1711,37,68,116131,3884,647,1526,489,171,122,4298,2932,83,5486,4435,77,219,659,5486,2150,40.2,2135,48,51,003,010303,51003010303,VA
Census Tract 104.01; Albemarle County; Virginia,1980,1873,1873,380,1252,0,107,115400,3517,493,1186,454,52,207,3923,2253,110,4501,3516,636,18,229,4501,2130,52.5,1980,0,51,003,010401,51003010401,VA
Census Tract 104.02; Albemarle County; Virginia,1471,1417,1417,118,1268,25,29,132560,2769,219,833,707,225,157,3080,1585,81,3792,3097,261,103,203,3792,1538,47.4,1471,17,51,003,010402,51003010402,VA
