GEOID,CountyName,StateName,StateAbbr,CountyGEOID,TotalPop,TotalBSLs,UnservedBSLs,UnderservedBSLs,ServedBSLs,UnservedBSLsCopper,UnderservedBSLsCopper,ServedBSLsCopper,UnservedBSLsCable,UnderservedBSLsCable,ServedBSLsCable,UnservedBSLsFiber,UnderservedBSLsFiber,ServedBSLsFiber,UnservedBSLsLTFW,UnderservedBSLsLTFW,ServedBSLsLTFW,UnservedBSLs_12monthPrevious,ServedBSLs_12monthPrevious,ServedBSLsFiber_12monthPrevious,UniqueProviders,UniqueProvidersCopper,UniqueProvidersCable,UniqueProvidersFiber,UniqueProvidersLTFW
51001090101,Accomack County,Virginia,VA,51001,1777,2002,1,1,2000,2002,0,0,66,0,1936,4,0,1998,454,467,1081,0,1988,1985,11,0,1,3,4
51001090102,Accomack County,Virginia,VA,51001,1545,1953,0,0,1953,1953,0,0,10,0,1943,2,0,1951,1109,289,555,0,1974,1971,11,0,1,3,4
51001090201,Accomack County,Virginia,VA,51001,3969,3420,0,1273,2147,3420,0,0,1959,0,1461,1590,0,1830,0,3318,102,0,1917,1408,11,0,1,3,4
51001090202,Accomack County,Virginia,VA,51001,3046,1689,58,123,1508,1689,0,0,453,0,1236,650,0,1039,316,1000,373,75,1507,1054,11,0,1,2,4
51001090300,Accomack County,Virginia,VA,51001,2093,1345,65,10,1270,1345,0,0,346,0,999,179,0,1166,693,561,91,176,1163,1037,10,0,1,1,4
51001090401,Accomack County,Virginia,VA,51001,2431,1223,162,64,997,1223,0,0,427,0,796,496,0,727,887,222,114,180,995,765,9,0,1,2,3
51001090402,Accomack County,Virginia,VA,51001,3245,1509,226,35,1248,1509,0,0,360,0,1149,787,0,722,742,339,428,220,1279,851,9,0,1,2,3
51001090500,Accomack County,Virginia,VA,51001,2721,1504,62,19,1423,1504,0,0,210,0,1294,277,0,1227,1324,80,100,100,1404,1201,9,0,1,2,3
51001090600,Accomack County,Virginia,VA,51001,3889,2558,358,14,2186,2558,0,0,857,0,1701,830,0,1728,1863,552,143,367,2204,1797,9,0,1,2,3
51001090700,Accomack County,Virginia,VA,51001,5179,2944,373,9,2562,2944,0,0,1020,0,1924,1081,0,1863,2699,165,80,441,2505,1854,9,0,1,2,3
51001090800,Accomack County,Virginia,VA,51001,3350,2015,178,10,1827,2015,0,0,498,0,1517,474,0,1541,1645,148,222,343,1679,1269,9,0,1,2,3
51001980100,Accomack County,Virginia,VA,51001,1,7,1,3,3,7,0,0,7,0,0,4,0,3,4,3,0,4,4,4,6,0,0,1,2
51001980200,Accomack County,Virginia,VA,51001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51001990100,Accomack County,Virginia,VA,51001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
