FIPS,State,County_Name,state_fips,Description,Population_2020,RUCC_2023
21001,KY,Adair County,21,"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area",18903,7
21003,KY,Allen County,21,"Metro - Counties in metro areas of fewer than 250,000 population",20588,3
21005,KY,Anderson County,21,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",23852,6
21007,KY,Ballard County,21,"Metro - Counties in metro areas of fewer than 250,000 population",7728,3
21009,KY,Barren County,21,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",44485,6
21011,KY,Bath County,21,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",12750,8
21013,KY,Bell County,21,"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area",24097,7
21015,KY,Boone County,21,Metro - Counties in metro areas of 1 million population or more,135968,1
21017,KY,Bourbon County,21,"Metro - Counties in metro areas of 250,000 to 1 million population",20252,2
21019,KY,Boyd County,21,"Metro - Counties in metro areas of 250,000 to 1 million population",48261,2
21021,KY,Boyle County,21,"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area",30614,7
21023,KY,Bracken County,21,Metro - Counties in metro areas of 1 million population or more,8400,1
21025,KY,Breathitt County,21,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",13718,9
21027,KY,Breckinridge County,21,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",20432,8
21029,KY,Bullitt County,21,Metro - Counties in metro areas of 1 million population or more,82217,1
21031,KY,Butler County,21,"Metro - Counties in metro areas of fewer than 250,000 population",12371,3
21033,KY,Caldwell County,21,"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area",12649,7
21035,KY,Calloway County,21,"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area",37103,7
21037,KY,Campbell County,21,Metro - Counties in metro areas of 1 million population or more,93076,1
21039,KY,Carlisle County,21,"Metro - Counties in metro areas of fewer than 250,000 population",4826,3
21041,KY,Carroll County,21,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",10810,6
21043,KY,Carter County,21,"Metro - Counties in metro areas of 250,000 to 1 million population",26627,2
21045,KY,Casey County,21,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",15941,9
21047,KY,Christian County,21,"Metro - Counties in metro areas of 250,000 to 1 million population",72748,2
21049,KY,Clark County,21,"Metro - Counties in metro areas of 250,000 to 1 million population",36972,2
21051,KY,Clay County,21,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",20345,9
21053,KY,Clinton County,21,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",9253,9
21055,KY,Crittenden County,21,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",8990,8
21057,KY,Cumberland County,21,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",5888,9
21059,KY,Daviess County,21,"Metro - Counties in metro areas of fewer than 250,000 population",103312,3
21061,KY,Edmonson County,21,"Metro - Counties in metro areas of fewer than 250,000 population",12126,3
21063,KY,Elliott County,21,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",7354,8
21065,KY,Estill County,21,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",14163,8
21067,KY,Fayette County,21,"Metro - Counties in metro areas of 250,000 to 1 million population",322570,2
21069,KY,Fleming County,21,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",15082,9
21071,KY,Floyd County,21,"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area",35942,7
21073,KY,Franklin County,21,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",51541,4
21075,KY,Fulton County,21,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",6515,9
21077,KY,Gallatin County,21,Metro - Counties in metro areas of 1 million population or more,8690,1
21079,KY,Garrard County,21,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",16953,8
21081,KY,Grant County,21,Metro - Counties in metro areas of 1 million population or more,24941,1
21083,KY,Graves County,21,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",36649,6
